location_id,postal_code,latitude,longitude
21219,8001,41.3799,2.1687
21220,8002,41.3823,2.176
21221,8003,41.3831,2.1848
21222,8004,41.3722,2.1593
21223,8005,41.3984,2.2005
21224,8006,41.4008,2.1481
21225,8007,41.3898,2.1643
21226,8008,41.3937,2.1586
21227,8009,41.3953,2.1698
21228,8010,41.3913,2.1749
21229,8011,41.3846,2.1595
21230,8012,41.4023,2.157
21231,8013,41.4007,2.1792
21232,8014,41.376,2.1382
21233,8015,41.379,2.1552
21234,8016,41.4373,2.1795
21235,8017,41.4093,2.1129
21236,8018,41.4039,2.192
21237,8019,41.4158,2.2185
21238,8020,41.4245,2.2091
21239,8021,41.397,2.1423
21240,8022,41.407,2.1346
21241,8023,41.4129,2.1454
21242,8024,41.4112,2.1588
21243,8025,41.4079,2.1705
21244,8026,41.4118,2.1838
21245,8027,41.4225,2.1856
21246,8028,41.378,2.1278
21247,8029,41.3868,2.1424
21248,8030,41.4327,2.2058
21249,8031,41.4324,2.1655
21250,8032,41.4248,2.1599
21251,8033,41.4551,2.1827
21252,8034,41.3859,2.1066
21253,8035,41.4262,2.1413
21254,8036,41.3906,2.1521
21255,8037,41.3998,2.1651
21256,8038,41.359,2.1451
21257,8039,41.3539,2.1578
21258,8040,41.345,2.1272
21259,8041,41.4185,2.1763
21260,8042,41.4434,2.1727
21261,8070,41.3888,2.159
21262,8071,41.3888,2.159
21263,8075,41.3888,2.159
21264,8080,41.3888,2.159
21265,8100,41.5403,2.2131
21266,8104,41.5623,2.1981
21267,8105,41.5167,2.2333
21268,8105,41.5167,2.2333
21269,8106,41.5167,2.25
21270,8107,41.5269,2.2375
21271,8110,41.4766,2.2128
21272,8110,41.4833,2.1833
21273,8120,41.5172,2.198
21274,8130,41.5286,2.1973
21275,8130,41.5212,2.1904
21276,8130,41.5333,2.1833
21277,8130,41.5266,2.1868
21278,8140,41.6206,2.1896
21279,8140,41.6333,2.1667
21280,8146,41.6934,2.1152
21281,8148,41.8692,2.1122
21282,8150,41.5748,2.2331
21283,8150,41.5748,2.2331
21284,8160,41.55,2.2419
21285,8170,41.5333,2.2667
21286,8171,41.4667,2.0833
21287,8172,41.4667,2.0833
21288,8173,41.4667,2.0833
21289,8174,41.4667,2.0833
21290,8178,41.8261,2.1754
21291,8180,41.8111,2.0984
21292,8181,41.6098,2.1368
21293,8182,41.7,2.1667
21294,8183,41.729,2.0613
21295,8183,41.7513,2.1203
21296,8183,41.7612,2.1492
21297,8184,41.6802,2.1723
21298,8185,41.5905,2.2412
21299,8186,41.6167,2.2333
21300,8187,41.65,2.2333
21301,8187,41.65,2.2333
21302,8188,41.5381,2.2976
21303,8189,41.7281,2.1546
21304,8190,41.4667,2.0833
21305,8191,41.4923,2.033
21306,8192,41.5333,2.0833
21307,8193,41.4929,2.0807
21308,8193,41.5026,2.0875
21309,8194,41.5333,2.0833
21310,8195,41.4667,2.0833
21311,8195,41.4667,2.0833
21312,8196,41.4667,2.0833
21313,8196,41.4667,2.0833
21314,8197,41.4667,2.0833
21315,8197,41.4667,2.0833
21316,8198,41.4667,2.0833
21317,8199,41.4883,2.0782
21318,8199,41.4883,2.0782
21319,8199,41.4883,2.0782
21320,8200,41.5433,2.1094
21321,8201,41.5458,2.1053
21322,8202,41.548,2.1127
21323,8203,41.5374,2.1147
21324,8204,41.5274,2.1163
21325,8205,41.5289,2.0988
21326,8206,41.5525,2.0898
21327,8207,41.5686,2.0897
21328,8208,41.5579,2.1037
21329,8210,41.5159,2.1246
21330,8211,41.6167,2.0833
21331,8211,41.6167,2.0667
21332,8211,41.6167,2.075
21333,8211,41.6167,2.075
21334,8212,41.6802,2.0541
21335,8213,41.55,2.15
21336,8214,41.5965,2.0982
21337,8220,41.5667,2.0167
21338,8221,41.5635,2.0127
21339,8222,41.5636,2.0268
21340,8223,41.5543,2.0201
21341,8224,41.5601,2.0005
21342,8225,41.5745,2.0079
21343,8226,41.5744,2.0243
21344,8227,41.5701,2.0375
21345,8227,41.5667,2.0167
21346,8228,41.5667,2.0167
21347,8228,41.5372,2.0423
21348,8230,41.5989,2.0265
21349,8230,41.5992,2.0267
21350,8230,41.5989,2.0265
21351,8231,41.5262,1.9578
21352,8232,41.5558,1.9539
21353,8233,41.6043,1.92
21354,8240,41.725,1.8266
21355,8240,41.725,1.863
21356,8241,41.7247,1.8282
21357,8242,41.7324,1.8229
21358,8243,41.7322,1.8369
21359,8248,41.725,1.8266
21360,8250,41.7455,1.8048
21361,8250,41.7455,1.8048
21362,8251,41.7831,1.8467
21363,8251,41.784,1.8384
21364,8253,41.6833,1.7667
21365,8254,41.7311,1.7317
21366,8254,41.7311,1.7317
21367,8255,41.6667,1.7
21368,8256,41.7287,1.707
21369,8256,41.7482,1.6292
21370,8259,41.743,1.7137
21371,8259,41.7627,1.6684
21372,8260,41.8333,1.75
21373,8260,41.8333,1.75
21374,8261,41.9133,1.678
21375,8261,41.9102,1.6934
21376,8262,41.8641,1.714
21377,8263,41.8,1.7333
21378,8269,41.8641,1.714
21379,8269,41.8641,1.714
21380,8269,41.8641,1.714
21381,8269,41.8641,1.714
21382,8269,41.8641,1.714
21383,8269,41.8444,1.6395
21384,8270,41.7524,1.9056
21385,8271,41.798,1.9543
21386,8272,41.75,1.8667
21387,8272,41.75,1.8667
21388,8273,41.8667,2.0333
21389,8274,41.945,2.0212
21390,8275,41.7875,1.987
21391,8275,41.7604,2.0168
21392,8278,41.7371,1.9754
21393,8278,41.7016,1.9761
21394,8279,41.8637,1.9709
21395,8280,41.7324,1.514
21396,8281,41.7364,1.5729
21397,8281,41.7408,1.6063
21398,8281,41.7408,1.6063
21399,8281,41.7482,1.6292
21400,8282,41.6833,1.5
21401,8282,41.717,1.4212
21402,8283,41.7667,1.4333
21403,8289,41.6367,1.518
21404,8289,41.6564,1.4898
21405,8290,41.4911,2.1408
21406,8291,41.4975,2.1576
21407,8292,41.5386,1.868
21408,8292,41.5333,1.7667
21409,8292,41.5333,1.7667
21410,8293,41.5701,1.8271
21411,8294,41.5333,1.7667
21412,8294,41.5749,1.7814
21413,8295,41.6667,1.8667
21414,8296,41.634,1.8639
21415,8297,41.5688,1.881
21416,8298,41.6424,1.7895
21417,8298,41.6167,1.85
21418,8299,41.6311,1.9046
21419,8300,41.5421,2.4445
21420,8301,41.5421,2.4445
21421,8302,41.5421,2.4445
21422,8303,41.5421,2.4445
21423,8304,41.5421,2.4445
21424,8310,41.553,2.4
21425,8317,41.55,2.35
21426,8318,41.5833,2.4167
21427,8319,41.595,2.4073
21428,8320,41.4874,2.326
21429,8328,41.4944,2.2949
21430,8329,41.498,2.3221
21431,8330,41.4921,2.3652
21432,8338,41.5,2.35
21433,8339,41.5167,2.3667
21434,8340,41.5096,2.3936
21435,8348,41.5206,2.3875
21436,8349,41.5167,2.4
21437,8350,41.5819,2.5494
21438,8358,41.6142,2.5397
21439,8359,41.6167,2.5667
21440,8360,41.5905,2.5812
21441,8370,41.6168,2.6691
21442,8380,41.6466,2.7413
21443,8389,41.6597,2.7475
21444,8389,41.65,2.7167
21445,8390,41.4668,2.2814
21446,8390,41.4686,2.28
21447,8391,41.4796,2.2675
21448,8392,41.5667,2.4833
21449,8393,41.5667,2.5333
21450,8394,41.5785,2.5088
21451,8395,41.6018,2.6174
21452,8396,41.6167,2.6
21453,8396,41.6167,2.6
21454,8397,41.6276,2.6889
21455,8398,41.6411,2.7111
21456,8400,41.608,2.2877
21457,8401,41.6068,2.2866
21458,8402,41.6219,2.295
21459,8403,41.6143,2.2808
21460,8404,41.608,2.2877
21461,8410,41.5534,2.2858
21462,8410,41.5534,2.2858
21463,8415,41.6833,2.2333
21464,8415,41.6833,2.2333
21465,8415,41.6833,2.2333
21466,8415,41.6833,2.2333
21467,8415,41.6833,2.2333
21468,8415,41.6833,2.2333
21469,8415,41.6833,2.2333
21470,8415,41.6833,2.2333
21471,8415,41.6833,2.2333
21472,8415,41.6833,2.2333
21473,8415,41.6833,2.2333
21474,8415,41.6833,2.2333
21475,8415,41.6833,2.2333
21476,8415,41.6833,2.2333
21477,8416,41.6833,2.2333
21478,8420,41.6167,2.2833
21479,8420,41.6269,2.2702
21480,8420,41.6171,2.2825
21481,8420,41.6181,2.2754
21482,8430,41.5833,2.3333
21483,8430,41.5833,2.3333
21484,8430,41.5833,2.3333
21485,8440,41.6394,2.3741
21486,8445,41.6833,2.3167
21487,8445,41.6833,2.35
21488,8450,41.6333,2.4
21489,8450,41.6333,2.4
21490,8450,41.6333,2.4
21491,8455,41.6528,2.4413
21492,8458,41.6833,2.3833
21493,8459,41.6667,2.4
21494,8460,41.7,2.45
21495,8461,41.7,2.4333
21496,8469,41.7588,2.3953
21497,8469,41.7573,2.3994
21498,8470,41.6859,2.4814
21499,8471,41.6478,2.5097
21500,8472,41.7247,2.4653
21501,8474,41.7315,2.5026
21502,8476,41.6833,2.4833
21503,8479,41.7333,2.45
21504,8479,41.7273,2.4436
21505,8479,41.7333,2.45
21506,8480,41.6641,2.345
21507,8480,41.6641,2.345
21508,8490,41.6975,2.7179
21509,8495,41.7249,2.6742
21510,8500,41.939,2.2454
21511,8503,41.933,2.2372
21512,8503,41.9833,2.1833
21513,8504,41.9253,2.2838
21514,8504,41.9219,2.3245
21515,8504,41.9,2.3833
21516,8505,41.9167,2.2167
21517,8505,41.9106,2.189
21518,8506,41.9244,2.282
21519,8507,41.9,2.2833
21520,8508,42.0,2.25
21521,8508,42.0,2.25
21522,8508,42.0,2.25
21523,8509,42.0,2.2333
21524,8510,41.9825,2.3112
21525,8510,41.9825,2.3112
21526,8511,42.0333,2.3667
21527,8511,41.9955,2.4183
21528,8512,42.0141,2.2402
21529,8513,42.0167,2.0333
21530,8514,42.05,2.0333
21531,8515,42.0333,2.0833
21532,8515,42.0333,2.0833
21533,8516,41.9853,2.0944
21534,8517,42.0,1.9833
21535,8517,42.05,1.9667
21536,8518,41.9333,2.0667
21537,8519,41.947,2.3844
21538,8519,41.9398,2.3173
21539,8519,41.9559,2.3253
21540,8520,41.6473,2.2979
21541,8520,41.6473,2.2979
21542,8520,41.6473,2.2979
21543,8520,41.6473,2.2979
21544,8521,41.7278,2.2697
21545,8522,41.8946,2.2437
21546,8529,41.8833,2.1833
21547,8530,41.6829,2.2861
21548,8540,41.7971,2.2217
21549,8550,41.8172,2.2368
21550,8551,41.8504,2.2283
21551,8552,41.8723,2.2869
21552,8553,41.8368,2.2817
21553,8554,41.8383,2.2801
21554,8559,41.8164,2.307
21555,8560,42.0033,2.2846
21556,8569,42.0244,2.4658
21557,8569,42.0243,2.4171
21558,8569,42.0062,2.3308
21559,8569,42.0428,2.4548
21560,8570,42.0463,2.2668
21561,8571,42.0748,2.2968
21562,8572,42.0833,2.3
21563,8573,42.0597,2.2207
21564,8580,42.1,2.2333
21565,8584,42.127,2.2585
21566,8585,42.1079,2.2059
21567,8586,42.0833,2.1333
21568,8587,42.1191,2.1005
21569,8588,42.1113,2.1607
21570,8589,42.036,2.168
21571,8589,42.0451,2.1093
21572,8589,42.05,2.15
21573,8590,41.7212,2.273
21574,8590,41.7212,2.273
21575,8591,41.78,2.2458
21576,8592,41.7662,2.2057
21577,8593,41.7375,2.2672
21578,8600,42.1011,1.8456
21579,8600,42.1043,1.8463
21580,8604,42.1729,1.9453
21581,8605,42.1549,1.9385
21582,8606,42.1549,1.9385
21583,8607,42.1874,2.0239
21584,8610,42.0667,1.85
21585,8610,42.0667,1.85
21586,8611,42.0667,1.9
21587,8611,42.0667,1.9
21588,8611,42.0569,1.9067
21589,8612,42.019,1.7361
21590,8613,42.1371,1.932
21591,8614,42.0532,1.7723
21592,8617,42.0772,1.7535
21593,8618,42.123,1.7738
21594,8619,42.1356,1.9943
21595,8620,41.3932,2.0069
21596,8629,41.35,1.9833
21597,8630,41.5168,1.901
21598,8630,41.5194,1.9015
21599,8635,41.4945,1.8722
21600,8635,41.4934,1.8833
21601,8640,41.5437,1.8941
21602,8650,41.813,1.9061
21603,8650,41.7987,1.9097
21604,8650,41.8247,1.8951
21605,8650,41.8083,1.8976
21606,8660,41.8634,1.8745
21607,8670,41.9,1.8776
21608,8671,41.899,1.7809
21609,8672,41.8333,1.8833
21610,8672,41.9167,1.9333
21611,8673,41.8872,1.8686
21612,8673,41.8872,1.8686
21613,8680,42.0422,1.8734
21614,8680,42.05,1.8667
21615,8680,42.0344,1.8812
21616,8690,41.3674,2.0143
21617,8691,41.6167,1.85
21618,8692,41.9667,1.8833
21619,8693,42.0126,1.8422
21620,8694,42.2349,1.8772
21621,8694,42.2235,1.8931
21622,8695,42.2529,1.861
21623,8695,42.2529,1.861
21624,8696,42.2449,1.9741
21625,8696,42.2833,2.0167
21626,8697,42.2275,1.7327
21627,8698,42.1846,1.8534
21628,8698,42.1464,1.8607
21629,8698,42.1667,1.8833
21630,8698,42.1715,1.8676
21631,8698,42.181,1.836
21632,8699,42.2039,1.818
21633,8700,41.5833,1.6191
21634,8710,41.55,1.6167
21635,8710,41.55,1.6167
21636,8711,41.6,1.65
21637,8712,41.55,1.5167
21638,8712,41.55,1.5167
21639,8717,41.6009,1.4445
21640,8717,41.6255,1.4153
21641,8718,41.5742,1.5568
21642,8719,41.6012,1.5468
21643,8719,41.3324,1.6496
21644,8719,41.5983,1.7006
21645,8719,41.6833,1.5
21646,8720,41.35,1.7
21647,8720,41.35,1.7
21648,8720,41.35,1.7
21649,8720,41.35,1.7
21650,8729,41.35,1.7
21651,8729,41.35,1.7
21652,8729,41.35,1.7
21653,8730,41.3324,1.6496
21654,8731,41.3833,1.6167
21655,8732,41.3167,1.6167
21656,8732,41.3167,1.6167
21657,8732,41.3167,1.6167
21658,8732,41.3167,1.6167
21659,8733,41.4167,1.7167
21660,8734,41.3258,1.6912
21661,8734,41.3258,1.6912
21662,8734,41.3258,1.6912
21663,8734,41.3258,1.6912
21664,8734,41.3258,1.6912
21665,8734,41.3258,1.6912
21666,8735,41.3833,1.65
21667,8736,41.4145,1.6506
21668,8736,41.4145,1.6506
21669,8737,41.3833,1.5667
21670,8738,41.4148,1.5165
21671,8739,41.4,1.8333
21672,8740,41.4466,1.9719
21673,8750,41.4167,2.0167
21674,8750,41.4423,2.0553
21675,8750,41.4167,2.025
21676,8750,41.4167,2.0333
21677,8753,41.4239,1.995
21678,8754,41.4365,2.0107
21679,8755,41.474,1.9811
21680,8756,41.4131,1.9691
21681,8757,41.417,1.9197
21682,8757,41.417,1.9197
21683,8757,41.417,1.9197
21684,8758,41.3959,1.9592
21685,8758,41.3959,1.9592
21686,8758,41.3959,1.9592
21687,8758,41.3959,1.9592
21688,8758,41.3959,1.9592
21689,8759,41.3894,1.9339
21690,8760,41.4771,1.9221
21691,8769,41.45,1.9
21692,8770,41.4404,1.8101
21693,8770,41.4167,1.7833
21694,8770,41.4469,1.7855
21695,8770,41.4347,1.793
21696,8770,41.4347,1.793
21697,8773,41.478,1.6122
21698,8775,41.4523,1.6982
21699,8776,41.45,1.7
21700,8777,41.4623,1.6639
21701,8779,41.4712,1.5326
21702,8780,41.4239,1.995
21703,8781,41.5333,1.7667
21704,8782,41.5035,1.8114
21705,8783,41.5012,1.8142
21706,8784,41.5228,1.751
21707,8784,41.4706,1.7521
21708,8784,41.454,1.7628
21709,8784,41.5223,1.7508
21710,8785,41.5167,1.7167
21711,8786,41.5348,1.6826
21712,8787,41.5313,1.6129
21713,8787,41.5187,1.5754
21714,8787,41.5187,1.5754
21715,8787,41.5542,1.6771
21716,8787,41.5309,1.6121
21717,8788,41.5716,1.6375
21718,8789,41.532,1.6207
21719,8789,41.532,1.6207
21720,8789,41.532,1.6207
21721,8790,41.4409,1.8646
21722,8790,41.4555,1.8658
21723,8791,41.4667,1.8333
21724,8791,41.4667,1.8333
21725,8791,41.4667,1.8333
21726,8791,41.4667,1.8333
21727,8792,41.3762,1.7194
21728,8792,41.3833,1.7167
21729,8792,41.3833,1.7167
21730,8793,41.35,1.7833
21731,8794,41.3667,1.7
21732,8795,41.3544,1.8491
21733,8796,41.3975,1.7846
21734,8797,41.4,1.7
21735,8798,41.3667,1.75
21736,8798,41.3625,1.752
21737,8799,41.3975,1.7846
21738,8799,41.3975,1.7846
21739,8800,41.2239,1.7251
21740,8805,41.5433,2.1094
21741,8810,41.2667,1.7667
21742,8810,41.2499,1.7689
21743,8811,41.2787,1.7194
21744,8812,41.2358,1.7545
21745,8812,41.2667,1.7667
21746,8812,41.2667,1.7667
21747,8818,41.3101,1.8119
21748,8820,41.3278,2.0947
21749,8820,41.3278,2.0947
21750,8830,41.3436,2.0366
21751,8840,41.3173,2.0124
21752,8849,41.3333,2.0
21753,8850,41.3061,2.0012
21754,8859,41.3309,1.9243
21755,8860,41.264,1.938
21756,8860,41.2351,1.8119
21757,8860,41.2351,1.8119
21758,8860,41.2351,1.8119
21759,8870,41.2446,1.7962
21760,8871,41.2351,1.8119
21761,8872,41.2351,1.8119
21762,8880,41.2035,1.6822
21763,8900,41.4301,2.1925
21764,8901,41.4301,2.1925
21765,8902,41.4301,2.1925
21766,8903,41.4301,2.1925
21767,8904,41.4301,2.1925
21768,8905,41.4301,2.1925
21769,8906,41.4301,2.1925
21770,8907,41.4301,2.1925
21771,8908,41.4301,2.1925
21772,8910,41.45,2.2474
21773,8911,41.4519,2.2517
21774,8912,41.4451,2.2412
21775,8913,41.4344,2.2156
21776,8914,41.4458,2.2197
21777,8915,41.4611,2.2461
21778,8916,41.4787,2.253
21779,8916,41.45,2.2474
21780,8917,41.4518,2.2302
21781,8918,41.4322,2.2211
21782,8920,41.4515,2.2081
21783,8921,41.4515,2.2081
21784,8922,41.4515,2.2081
21785,8923,41.4515,2.2081
21786,8924,41.4515,2.2081
21787,8930,41.4307,2.2186
21788,8940,41.35,2.0833
21789,8950,41.3773,2.0881
21790,8960,41.3849,2.0746
21791,8970,41.3667,2.0667
21792,8980,41.3833,2.05
22370,8281,41.7408,1.6063
22371,8281,41.7408,1.6063
22372,8281,41.7408,1.6063
